Date,Price,Open,High,Low,Vol.,Change %
13/06/2019,1.2591,1.2633,1.2639,1.2571,186.87K,-0.29%
12/06/2019,1.2627,1.2628,1.2684,1.2601,185.24K,0.03%
11/06/2019,1.2623,1.2556,1.2636,1.2543,185.61K,0.57%
10/06/2019,1.2552,1.2584,1.2613,1.2538,158.57K,-0.19%
07/06/2019,1.2576,1.259,1.2659,1.2564,154.78K,-0.07%
06/06/2019,1.2585,1.2618,1.2658,1.2559,195.58K,-0.25%
05/06/2019,1.2616,1.2596,1.2634,1.2553,200.42K,0.18%
04/06/2019,1.2593,1.2572,1.2629,1.2556,207.25K,0.21%
03/06/2019,1.2567,1.2639,1.266,1.2557,171.39K,-0.59%
31/05/2019,1.2642,1.2707,1.2718,1.2625,219.70K,-0.47%
30/05/2019,1.2702,1.2728,1.2759,1.2684,189.43K,-0.14%
29/05/2019,1.272,1.2751,1.2765,1.2691,199.05K,-0.21%
28/05/2019,1.2747,1.2728,1.2794,1.2702,186.51K,0.19%
27/05/2019,1.2723,1.275,1.2801,1.2719,161.04K,-0.07%
24/05/2019,1.2732,1.2698,1.2756,1.268,189.84K,0.31%
23/05/2019,1.2693,1.2784,1.2799,1.2685,195.47K,-0.69%
22/05/2019,1.2781,1.2847,1.2867,1.2731,179.63K,-0.48%
21/05/2019,1.2843,1.2838,1.2937,1.2809,188.53K,0.09%
20/05/2019,1.2832,1.2857,1.2896,1.2816,146.20K,-0.16%
17/05/2019,1.2852,1.2925,1.2938,1.2852,171.29K,-0.53%
16/05/2019,1.292,1.2962,1.2976,1.291,168.72K,-0.31%
15/05/2019,1.296,1.3019,1.303,1.293,180.87K,-0.41%
14/05/2019,1.3014,1.304,1.3068,1.3007,175.27K,-0.18%
13/05/2019,1.3037,1.3152,1.3168,1.3013,170.59K,-0.85%
10/05/2019,1.3149,1.3203,1.3228,1.3144,195.29K,-0.38%
09/05/2019,1.3199,1.3274,1.3295,1.3169,190.92K,-0.53%
08/05/2019,1.3269,1.3334,1.3346,1.3223,197.44K,-0.44%
07/05/2019,1.3328,1.3332,1.3357,1.3307,201.33K,0.01%
06/05/2019,1.3327,1.3331,1.3404,1.3312,169.31K,-0.45%
03/05/2019,1.3387,1.329,1.3404,1.3252,174.53K,0.78%
02/05/2019,1.3283,1.3286,1.3329,1.3261,169.04K,0.00%
01/05/2019,1.3283,1.3285,1.3307,1.3255,160.61K,0.03%
30/04/2019,1.3279,1.3191,1.3306,1.3174,200.49K,0.71%
29/04/2019,1.3186,1.3181,1.3205,1.316,155.50K,0.13%
26/04/2019,1.3169,1.3162,1.3196,1.3145,231.50K,0.08%
25/04/2019,1.3158,1.3166,1.3189,1.3132,223.53K,-0.03%
24/04/2019,1.3162,1.3201,1.3214,1.3156,229.29K,-0.23%
23/04/2019,1.3192,1.3186,1.328,1.3175,204.19K,0.10%
22/04/2019,1.3179,1.3184,1.3197,1.3159,150.66K,-0.02%
19/04/2019,1.3182,1.3199,1.321,1.3164,198.46K,-0.11%
18/04/2019,1.3196,1.3182,1.3206,1.3142,218.59K,0.14%
17/04/2019,1.3177,1.3154,1.3191,1.3125,200.85K,0.21%
16/04/2019,1.315,1.3154,1.3175,1.3123,217.74K,0.02%
15/04/2019,1.3147,1.3108,1.3165,1.3091,176.13K,0.28%
12/04/2019,1.311,1.3104,1.3133,1.3076,198.44K,0.13%
11/04/2019,1.3093,1.3126,1.3148,1.3075,211.14K,-0.21%
10/04/2019,1.312,1.3062,1.3151,1.3037,199.28K,0.49%
09/04/2019,1.3056,1.3047,1.3103,1.3024,196.95K,0.08%
08/04/2019,1.3045,1.3037,1.3067,1.3005,161.68K,0.09%
