Date,Price,Open,High,Low,Vol.,Change %
22/07/2019,1.1126,1.1148,1.1163,1.1108,167.70K,-0.10%
19/07/2019,1.1137,1.1129,1.1166,1.1113,197.46K,0.11%
18/07/2019,1.1125,1.1077,1.114,1.1062,203.91K,0.46%
17/07/2019,1.1074,1.1066,1.1094,1.1046,181.67K,0.12%
16/07/2019,1.1061,1.1118,1.1121,1.1051,182.95K,-0.49%
15/07/2019,1.1115,1.1158,1.1166,1.1108,166.11K,-0.34%
12/07/2019,1.1153,1.1126,1.1168,1.1121,211.35K,0.27%
11/07/2019,1.1123,1.1109,1.1155,1.1101,215.90K,0.14%
10/07/2019,1.1107,1.1123,1.1133,1.1097,201.36K,-0.12%
09/07/2019,1.112,1.1157,1.1166,1.1106,182.29K,-0.30%
08/07/2019,1.1154,1.1154,1.1172,1.1142,167.49K,0.01%
05/07/2019,1.1153,1.1147,1.1165,1.1128,202.97K,0.09%
04/07/2019,1.1143,1.1148,1.116,1.1136,170.68K,-0.02%
03/07/2019,1.1145,1.1158,1.1164,1.1122,187.26K,-0.09%
02/07/2019,1.1155,1.12,1.1213,1.1143,195.82K,-0.38%
01/07/2019,1.1198,1.1163,1.1207,1.113,193.19K,0.32%
28/06/2019,1.1162,1.1151,1.1187,1.112,189.85K,0.13%
27/06/2019,1.1148,1.1162,1.1191,1.1132,188.92K,-0.09%
26/06/2019,1.1158,1.1164,1.1185,1.1138,196.62K,-0.04%
25/06/2019,1.1162,1.1178,1.1217,1.1155,185.00K,-0.12%
24/06/2019,1.1175,1.1211,1.1214,1.1158,166.99K,-0.27%
21/06/2019,1.1205,1.1247,1.126,1.1176,209.81K,-0.33%
20/06/2019,1.1242,1.1261,1.1272,1.1204,220.33K,-0.13%
19/06/2019,1.1257,1.122,1.1272,1.12,171.70K,0.37%
18/06/2019,1.1216,1.1173,1.1224,1.1142,181.50K,0.40%
17/06/2019,1.1171,1.1237,1.1249,1.117,166.91K,-0.53%
14/06/2019,1.123,1.1234,1.1255,1.1212,209.86K,-0.04%
13/06/2019,1.1235,1.124,1.1266,1.1209,226.08K,0.01%
12/06/2019,1.1234,1.1229,1.1273,1.1214,230.36K,0.08%
11/06/2019,1.1225,1.1212,1.1249,1.1193,223.19K,0.16%
10/06/2019,1.1207,1.1249,1.1263,1.1197,187.98K,-0.24%
07/06/2019,1.1234,1.1264,1.1301,1.1232,190.94K,-0.22%
06/06/2019,1.1259,1.1297,1.1323,1.1245,240.69K,-0.38%
05/06/2019,1.1302,1.1286,1.1313,1.1262,238.64K,0.18%
04/06/2019,1.1282,1.1266,1.1299,1.1233,244.07K,0.16%
03/06/2019,1.1264,1.1306,1.1333,1.1249,212.83K,-0.27%
31/05/2019,1.1294,1.1323,1.1337,1.1264,287.45K,-0.27%
30/05/2019,1.1325,1.1345,1.1355,1.1308,242.51K,-0.13%
29/05/2019,1.134,1.1338,1.1368,1.132,265.35K,0.04%
28/05/2019,1.1336,1.1322,1.1358,1.1307,248.61K,0.16%
27/05/2019,1.1318,1.1365,1.1391,1.1314,208.87K,-0.22%
24/05/2019,1.1343,1.1318,1.1364,1.1296,245.37K,0.23%
23/05/2019,1.1317,1.1354,1.1379,1.1309,255.45K,-0.31%
22/05/2019,1.1352,1.1379,1.1402,1.131,231.77K,-0.25%
21/05/2019,1.1381,1.1394,1.1462,1.1372,243.97K,-0.08%
20/05/2019,1.139,1.14,1.1431,1.1381,189.82K,-0.07%
17/05/2019,1.1398,1.1452,1.1462,1.1389,225.22K,-0.45%
16/05/2019,1.1449,1.1472,1.1481,1.1428,226.91K,-0.16%
15/05/2019,1.1467,1.1511,1.1537,1.1443,247.58K,-0.34%
14/05/2019,1.1506,1.1545,1.1559,1.1503,231.22K,-0.30%
13/05/2019,1.1541,1.1566,1.1597,1.1516,217.53K,-0.22%
10/05/2019,1.1567,1.1597,1.1622,1.1566,272.13K,-0.25%
09/05/2019,1.1596,1.1623,1.1636,1.1561,274.94K,-0.22%
08/05/2019,1.1621,1.1684,1.1692,1.1593,272.84K,-0.52%
07/05/2019,1.1682,1.1695,1.1719,1.1652,285.36K,-0.08%
06/05/2019,1.1691,1.1705,1.1779,1.1684,235.22K,-0.55%
03/05/2019,1.1756,1.1661,1.1772,1.1643,238.95K,0.85%
02/05/2019,1.1657,1.1649,1.1676,1.1629,231.57K,0.03%
01/05/2019,1.1653,1.1622,1.166,1.1615,205.03K,0.30%
30/04/2019,1.1618,1.1565,1.1643,1.1554,248.36K,0.49%
29/04/2019,1.1561,1.159,1.1606,1.1556,202.29K,-0.21%
26/04/2019,1.1585,1.1587,1.1603,1.1571,300.93K,0.02%
25/04/2019,1.1583,1.1566,1.1595,1.1552,302.77K,0.17%
24/04/2019,1.1563,1.1524,1.1589,1.1512,322.44K,0.39%
23/04/2019,1.1518,1.1532,1.1585,1.1514,289.22K,-0.08%
22/04/2019,1.1527,1.1557,1.1572,1.1523,199.90K,-0.20%
19/04/2019,1.155,1.1564,1.1579,1.154,255.62K,-0.16%
18/04/2019,1.1569,1.1547,1.1582,1.1531,299.31K,0.23%
17/04/2019,1.1543,1.1567,1.1574,1.1515,283.59K,-0.19%
16/04/2019,1.1565,1.1589,1.1601,1.1545,280.97K,-0.11%
15/04/2019,1.1578,1.1572,1.1605,1.1559,229.97K,0.06%
12/04/2019,1.1571,1.1601,1.1613,1.1548,291.30K,-0.23%
11/04/2019,1.1598,1.1614,1.163,1.1579,299.98K,-0.10%
10/04/2019,1.161,1.1598,1.1641,1.1572,287.30K,0.13%
09/04/2019,1.1595,1.1591,1.1638,1.1556,292.72K,-0.02%
08/04/2019,1.1597,1.1621,1.1643,1.1565,234.78K,-0.21%
05/04/2019,1.1621,1.1655,1.1688,1.1576,320.87K,-0.27%
04/04/2019,1.1653,1.1715,1.174,1.1634,326.51K,-0.51%
03/04/2019,1.1713,1.1722,1.1763,1.1683,344.34K,-0.02%
02/04/2019,1.1715,1.168,1.1739,1.1615,343.87K,0.29%
01/04/2019,1.1681,1.1611,1.1732,1.1588,269.96K,0.57%
29/03/2019,1.1615,1.1616,1.1696,1.1559,345.32K,0.01%
28/03/2019,1.1614,1.1727,1.1751,1.1612,355.45K,-0.96%
27/03/2019,1.1727,1.1722,1.1789,1.1693,345.22K,0.05%
26/03/2019,1.1721,1.1672,1.1739,1.1632,319.23K,0.45%
25/03/2019,1.1668,1.1672,1.1715,1.1628,254.82K,-0.05%
22/03/2019,1.1674,1.1524,1.1722,1.1511,357.29K,1.33%
21/03/2019,1.1521,1.1563,1.158,1.1461,341.98K,-0.33%
20/03/2019,1.1559,1.169,1.1702,1.1537,330.06K,-1.08%
19/03/2019,1.1685,1.1694,1.172,1.1667,306.74K,-0.06%
18/03/2019,1.1692,1.1735,1.1751,1.1631,231.80K,-0.37%
15/03/2019,1.1736,1.1714,1.1754,1.166,345.32K,0.18%
14/03/2019,1.1715,1.1776,1.1779,1.1678,387.98K,-0.53%
13/03/2019,1.1777,1.1583,1.1808,1.1568,352.13K,1.68%
12/03/2019,1.1582,1.1692,1.1801,1.1553,380.21K,-0.94%
11/03/2019,1.1692,1.1586,1.1722,1.1523,300.17K,0.96%
08/03/2019,1.1581,1.1692,1.1703,1.1554,308.05K,-0.92%
07/03/2019,1.1689,1.1647,1.1715,1.1592,307.07K,0.35%
06/03/2019,1.1648,1.1654,1.1658,1.1599,325.12K,-0.05%
05/03/2019,1.1654,1.1631,1.1664,1.1565,316.78K,0.21%
04/03/2019,1.163,1.1606,1.1689,1.1592,270.78K,0.21%
01/03/2019,1.1606,1.1664,1.1678,1.1596,352.79K,-0.50%
28/02/2019,1.1664,1.1707,1.1722,1.1644,357.42K,-0.35%
27/02/2019,1.1705,1.163,1.1724,1.1622,345.43K,0.68%
26/02/2019,1.1626,1.1522,1.1682,1.1515,321.45K,0.83%
25/02/2019,1.153,1.1533,1.1547,1.1494,281.90K,0.20%
22/02/2019,1.1507,1.1507,1.1527,1.1455,315.59K,-0.06%
21/02/2019,1.1514,1.1513,1.1543,1.1487,350.37K,0.03%
20/02/2019,1.1511,1.152,1.1531,1.1473,328.41K,-0.07%
19/02/2019,1.1519,1.1426,1.1534,1.141,288.68K,0.81%
18/02/2019,1.1426,1.1425,1.1462,1.1405,240.53K,0.11%
15/02/2019,1.1413,1.1333,1.1427,1.1314,323.49K,0.63%
14/02/2019,1.1342,1.1409,1.1428,1.131,314.17K,-0.57%
13/02/2019,1.1407,1.1381,1.1441,1.1366,318.19K,0.21%
12/02/2019,1.1383,1.1391,1.1426,1.1374,318.34K,-0.12%
11/02/2019,1.1397,1.1432,1.1442,1.1391,252.11K,-0.26%
08/02/2019,1.1427,1.1424,1.1444,1.1407,313.16K,0.09%
07/02/2019,1.1417,1.1385,1.1463,1.1346,327.70K,0.30%
06/02/2019,1.1383,1.1343,1.1402,1.1334,361.80K,0.38%
05/02/2019,1.134,1.1394,1.1435,1.1333,344.59K,-0.50%
04/02/2019,1.1397,1.1425,1.1465,1.1393,256.46K,-0.18%
01/02/2019,1.1418,1.1453,1.1463,1.137,334.03K,-0.31%
31/01/2019,1.1453,1.1426,1.1482,1.1403,351.56K,0.23%
30/01/2019,1.1427,1.1429,1.1477,1.1407,365.08K,-0.02%
29/01/2019,1.1429,1.1515,1.1555,1.1418,360.63K,-0.77%
28/01/2019,1.1518,1.1569,1.1586,1.1496,316.92K,-0.46%
25/01/2019,1.1571,1.1561,1.1608,1.1519,358.92K,0.12%
24/01/2019,1.1557,1.1482,1.156,1.1458,333.05K,0.64%
23/01/2019,1.1483,1.1409,1.15,1.1384,319.63K,0.67%
22/01/2019,1.1407,1.1339,1.1418,1.1323,334.56K,0.57%
21/01/2019,1.1342,1.1335,1.1359,1.1281,299.39K,0.11%
18/01/2019,1.133,1.1393,1.1412,1.1311,331.91K,-0.59%
17/01/2019,1.1397,1.1303,1.1415,1.1271,367.25K,0.85%
16/01/2019,1.1301,1.1265,1.1316,1.1247,,0.29%
15/01/2019,1.1268,1.1207,1.1297,1.1128,,0.52%
14/01/2019,1.121,1.1205,1.1271,1.117,,0.05%
11/01/2019,1.1204,1.1087,1.1212,1.1035,,1.06%
10/01/2019,1.1086,1.108,1.11,1.1036,,0.05%
09/01/2019,1.108,1.1114,1.1143,1.1057,,-0.33%
08/01/2019,1.1117,1.1139,1.1178,1.1102,17.38K,-0.19%
07/01/2019,1.1138,1.1173,1.1175,1.112,15.51K,-0.29%
04/01/2019,1.117,1.1088,1.1184,1.1073,0.00K,0.76%
03/01/2019,1.1086,1.1112,1.1128,1.0945,20.96K,-0.27%
02/01/2019,1.1116,1.1124,1.1138,1.1071,18.82K,-0.06%
01/01/2019,1.1123,1.1126,1.1167,1.1042,10.17K,0.00%
31/12/2018,1.1123,1.1083,1.1204,1.1079,0.30K,0.16%
28/12/2018,1.1105,1.1061,1.1111,1.1034,,0.40%
27/12/2018,1.1061,1.1129,1.115,1.1036,21.60K,-0.60%
