Date,Price,Open,High,Low,Vol.,Change %
05/08/2019,1.2141,1.2143,1.219,1.2101,125.11K,-0.11%
02/08/2019,1.2154,1.2135,1.217,1.209,123.81K,0.19%
01/08/2019,1.2131,1.2155,1.2171,1.2078,130.43K,-0.21%
31/07/2019,1.2157,1.2154,1.225,1.2134,120.39K,0.07%
30/07/2019,1.2149,1.222,1.2228,1.2119,125.64K,-0.56%
29/07/2019,1.2217,1.2386,1.2389,1.2212,109.70K,-1.32%
26/07/2019,1.238,1.2464,1.2464,1.2376,108.06K,-0.59%
25/07/2019,1.2454,1.2484,1.2519,1.2436,120.13K,-0.22%
24/07/2019,1.2481,1.2438,1.2523,1.2426,111.54K,0.36%
23/07/2019,1.2436,1.2473,1.2483,1.2418,115.70K,-0.30%
22/07/2019,1.2474,1.2508,1.2522,1.2455,100.90K,-0.21%
19/07/2019,1.25,1.2551,1.2557,1.2477,110.90K,-0.37%
18/07/2019,1.2546,1.2433,1.2559,1.2426,121.18K,0.93%
17/07/2019,1.2431,1.2407,1.2457,1.2382,108.82K,0.23%
16/07/2019,1.2403,1.2515,1.2522,1.2395,112.27K,-0.89%
15/07/2019,1.2514,1.2573,1.2581,1.2509,104.23K,-0.47%
12/07/2019,1.2573,1.252,1.258,1.2517,133.17K,0.43%
11/07/2019,1.2519,1.2499,1.2572,1.2498,133.23K,0.16%
10/07/2019,1.2499,1.2468,1.2522,1.2443,119.79K,0.27%
09/07/2019,1.2465,1.2514,1.2524,1.244,111.88K,-0.36%
08/07/2019,1.251,1.2517,1.2541,1.2499,101.88K,-0.10%
05/07/2019,1.2523,1.2581,1.2588,1.248,122.23K,-0.42%
04/07/2019,1.2576,1.2573,1.2593,1.2567,110.44K,0.04%
03/07/2019,1.2571,1.2592,1.2603,1.2557,112.54K,-0.16%
02/07/2019,1.2591,1.2641,1.2654,1.2583,118.66K,-0.37%
01/07/2019,1.2638,1.2695,1.2708,1.2631,116.92K,-0.43%
28/06/2019,1.2693,1.2677,1.2736,1.2663,124.68K,0.14%
27/06/2019,1.2675,1.2687,1.2725,1.2661,122.46K,-0.10%
26/06/2019,1.2688,1.27,1.2708,1.2663,123.09K,-0.07%
25/06/2019,1.2697,1.2742,1.2785,1.2671,112.49K,-0.33%
24/06/2019,1.2739,1.2722,1.2767,1.2708,107.52K,-0.01%
21/06/2019,1.274,1.2701,1.275,1.2642,137.02K,0.32%
20/06/2019,1.2699,1.2642,1.2729,1.2632,144.90K,0.47%
19/06/2019,1.2639,1.2558,1.2674,1.2542,113.50K,0.66%
18/06/2019,1.2556,1.2534,1.2566,1.2506,116.29K,0.19%
17/06/2019,1.2532,1.26,1.2607,1.2531,111.26K,-0.46%
14/06/2019,1.259,1.2676,1.2684,1.2579,140.08K,-0.65%
13/06/2019,1.2672,1.269,1.2709,1.2661,143.74K,-0.11%
12/06/2019,1.2686,1.2724,1.2759,1.268,144.63K,-0.28%
11/06/2019,1.2722,1.2686,1.2734,1.2669,142.29K,0.31%
10/06/2019,1.2683,1.2731,1.2748,1.2653,118.52K,-0.40%
07/06/2019,1.2734,1.2702,1.2764,1.2687,115.71K,0.28%
06/06/2019,1.2699,1.2684,1.2743,1.2667,146.93K,0.12%
05/06/2019,1.2684,1.2697,1.2744,1.2679,145.52K,-0.09%
04/06/2019,1.2696,1.2665,1.2716,1.2642,153.60K,0.26%
03/06/2019,1.2663,1.2627,1.2675,1.2609,122.27K,0.25%
31/05/2019,1.2631,1.2608,1.2645,1.2558,163.95K,0.20%
30/05/2019,1.2606,1.2627,1.2641,1.2579,142.64K,-0.15%
29/05/2019,1.2625,1.2654,1.2672,1.2611,150.97K,-0.21%
28/05/2019,1.2652,1.2679,1.2702,1.265,144.41K,-0.20%
27/05/2019,1.2677,1.2727,1.2756,1.2666,132.13K,-0.28%
24/05/2019,1.2712,1.2657,1.2734,1.2646,155.23K,0.46%
23/05/2019,1.2654,1.2663,1.2685,1.2605,152.56K,-0.06%
22/05/2019,1.2661,1.2706,1.2722,1.2623,141.27K,-0.35%
21/05/2019,1.2705,1.273,1.2815,1.2685,148.19K,-0.17%
20/05/2019,1.2726,1.2721,1.2759,1.2714,109.70K,0.06%
17/05/2019,1.2718,1.2797,1.2809,1.2713,125.78K,-0.60%
16/05/2019,1.2795,1.2843,1.2864,1.2787,126.66K,-0.41%
15/05/2019,1.2848,1.2908,1.2924,1.2825,138.60K,-0.43%
14/05/2019,1.2904,1.2958,1.2973,1.2902,133.33K,-0.39%
13/05/2019,1.2955,1.2998,1.3042,1.294,125.00K,-0.34%
10/05/2019,1.2999,1.3008,1.3048,1.299,146.41K,-0.11%
09/05/2019,1.3013,1.3007,1.3037,1.2967,145.90K,0.05%
08/05/2019,1.3006,1.3077,1.3082,1.2987,145.53K,-0.52%
07/05/2019,1.3074,1.3097,1.3133,1.3039,152.93K,-0.16%
06/05/2019,1.3095,1.3114,1.3171,1.3081,130.13K,-0.58%
03/05/2019,1.3171,1.3033,1.3178,1.2989,135.47K,1.05%
02/05/2019,1.3034,1.305,1.3082,1.3017,128.73K,-0.11%
01/05/2019,1.3049,1.3033,1.3103,1.3029,125.35K,0.14%
30/04/2019,1.3031,1.2939,1.305,1.2924,145.39K,0.73%
29/04/2019,1.2936,1.2926,1.2947,1.2904,119.95K,0.15%
26/04/2019,1.2917,1.2899,1.2945,1.2876,186.04K,0.16%
25/04/2019,1.2897,1.2902,1.2918,1.2865,178.29K,-0.02%
24/04/2019,1.29,1.2938,1.2965,1.2888,180.82K,-0.29%
23/04/2019,1.2937,1.2981,1.302,1.2928,164.01K,-0.35%
22/04/2019,1.2982,1.2995,1.3002,1.2974,127.51K,-0.05%
19/04/2019,1.2988,1.2998,1.3015,1.2982,165.76K,-0.06%
18/04/2019,1.2996,1.3042,1.3054,1.2979,173.71K,-0.36%
17/04/2019,1.3043,1.3049,1.3069,1.3029,155.44K,-0.04%
16/04/2019,1.3048,1.3102,1.3113,1.3042,165.11K,-0.37%
15/04/2019,1.3097,1.3076,1.312,1.3065,136.46K,0.12%
12/04/2019,1.3081,1.3061,1.3133,1.3049,163.02K,0.21%
11/04/2019,1.3054,1.3092,1.311,1.305,175.61K,-0.27%
10/04/2019,1.3089,1.3058,1.3122,1.3043,163.33K,0.22%
09/04/2019,1.306,1.3065,1.3123,1.303,159.75K,-0.02%
